FID,nom,url,gid,the_geom
ima_gestion_images.imamnt2018laz1kmcc46.1,1830_5150,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5150.laz,1,"MULTIPOLYGON (((829902.2051384539 6494588.186601023, 829902.0352249458 6495524.272445102, 830901.2729247093 6495524.454532713, 830901.4441448512 6494588.36866145, 829902.2051384539 6494588.186601023)))"
ima_gestion_images.imamnt2018laz1kmcc46.2,1830_5151,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5151.laz,2,"MULTIPOLYGON (((829902.0352231319 6495524.282437579, 829901.853818511 6496523.519425351, 830901.0901232602 6496523.701541986, 830901.2729228814 6495524.46452519, 829902.0352231319 6495524.282437579)))"
ima_gestion_images.imamnt2018laz1kmcc46.3,1830_5152,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5152.laz,3,"MULTIPOLYGON (((829901.8538166968 6496523.529417814, 829901.6723831579 6497522.765010457, 830900.9072926707 6497522.947156125, 830901.090121432 6496523.711534448, 829901.8538166968 6496523.529417814)))"
ima_gestion_images.imamnt2018laz1kmcc46.4,1830_5153,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5153.laz,4,"MULTIPOLYGON (((829901.6723813434 6497522.775002903, 829901.4909188774 6498522.009200192, 830900.7244329312 6498522.1913749045, 830900.9072908422 6497522.957148572, 829901.6723813434 6497522.775002903)))"
ima_gestion_images.imamnt2018laz1kmcc46.5,1830_5154,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5154.laz,5,"MULTIPOLYGON (((829901.4909170626 6498522.0191926295, 829901.30942566 6499521.251994343, 830900.5415440325 6499521.434198108, 830900.7244311025 6498522.201367341, 829901.4909170626 6498522.0191926295)))"
ima_gestion_images.imamnt2018laz1kmcc46.6,1830_5155,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5155.laz,6,"MULTIPOLYGON (((829901.3094238449 6499521.261986765, 829901.1279034966 6500520.493392682, 830900.3586259653 6500520.675625508, 830900.5415422035 6499521.444190527, 829901.3094238449 6499521.261986765)))"
ima_gestion_images.imamnt2018laz1kmcc46.7,1830_5156,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5156.laz,7,"MULTIPOLYGON (((829901.1279016812 6500520.503385088, 829900.9463523778 6501519.733394989, 830900.1756787202 6501519.915656883, 830900.358624136 6500520.685617915, 829901.1279016812 6500520.503385088)))"
ima_gestion_images.imamnt2018laz1kmcc46.8,1830_5157,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5157.laz,8,"MULTIPOLYGON (((829900.9463505622 6501519.74338738, 829900.7647722943 6502518.972001036, 830899.9927022881 6502519.154292013, 830900.1756768906 6501519.925649278, 829900.9463505622 6501519.74338738)))"
ima_gestion_images.imamnt2018laz1kmcc46.9,1830_5158,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5158.laz,9,"MULTIPOLYGON (((829900.7647704784 6502518.981993415, 829900.583163237 6503518.209210607, 830899.8096966591 6503518.391530672, 830899.992700458 6502519.164284391, 829900.7647704784 6502518.981993415)))"
ima_gestion_images.imamnt2018laz1kmcc46.10,1830_5159,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5159.laz,10,"MULTIPOLYGON (((829900.5831614208 6503518.219202972, 829900.4015251965 6504517.445023473, 830899.6266618243 6504517.62737264, 830899.8096948288 6503518.401523038, 829900.5831614208 6503518.219202972)))"
ima_gestion_images.imamnt2018laz1kmcc46.11,1830_5160,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5160.laz,11,"MULTIPOLYGON (((829900.40152338 6504517.455015826, 829900.2198581634 6505516.679439419, 830899.4435977741 6505516.8618176915, 830899.6266599938 6504517.63736499, 829900.40152338 6504517.455015826)))"
ima_gestion_images.imamnt2018laz1kmcc46.12,1830_5161,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5161.laz,12,"MULTIPOLYGON (((829900.2198563466 6505516.689431755, 829900.0381621287 6506515.912458215, 830899.2605044993 6506516.094865607, 830899.4435959433 6505516.871810028, 829900.2198563466 6505516.689431755)))"
ima_gestion_images.imamnt2018laz1kmcc46.13,1830_5162,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5162.laz,13,"MULTIPOLYGON (((829900.0381603115 6506515.92245054, 829899.8564370828 6507515.144079641, 830899.0773819905 6507515.326516159, 830899.2605026682 6506516.10485793, 829900.0381603115 6506515.92245054)))"
ima_gestion_images.imamnt2018laz1kmcc46.14,1830_5163,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5163.laz,14,"MULTIPOLYGON (((829899.8564352654 6507515.15407195, 829899.6746830164 6508514.374303475, 830898.8942302382 6508514.556769131, 830899.077380159 6507515.336508469, 829899.8564352654 6507515.15407195)))"
ima_gestion_images.imamnt2018laz1kmcc46.15,1830_5164,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5164.laz,15,"MULTIPOLYGON (((829899.6746811988 6508514.384295772, 829899.4928999204 6509513.603129493, 830898.7110492332 6509513.785624292, 830898.8942284065 6508514.566761425, 829899.6746811988 6508514.384295772)))"
ima_gestion_images.imamnt2018laz1kmcc46.16,1830_5165,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5165.laz,16,"MULTIPOLYGON (((829899.4928981025 6509513.613121775, 829899.3110877854 6510512.83055747, 830898.5278389658 6510513.013081425, 830898.7110474012 6509513.795616575, 829899.4928981025 6509513.613121775)))"
ima_gestion_images.imamnt2018laz1kmcc46.17,1830_5166,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5166.laz,17,"MULTIPOLYGON (((829899.3110859671 6510512.840549738, 829899.1292466022 6511512.056587187, 830898.344599427 6511512.2391403075, 830898.5278371335 6510513.023073696, 829899.3110859671 6510512.840549738)))"
ima_gestion_images.imamnt2018laz1kmcc46.18,1830_5167,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5167.laz,18,"MULTIPOLYGON (((829899.1292447837 6511512.06657944, 829898.9473763611 6512511.281218416, 830898.1613306071 6512511.463800709, 830898.3445975943 6511512.249132559, 829899.1292447837 6511512.06657944)))"
ima_gestion_images.imamnt2018laz1kmcc46.19,1830_5168,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5168.laz,19,"MULTIPOLYGON (((829898.9473745424 6512511.291210656, 829898.7654770531 6513510.504450939, 830897.9780324969 6513510.687062413, 830898.1613287742 6512511.473792951, 829898.9473745424 6512511.291210656)))"
ima_gestion_images.imamnt2018laz1kmcc46.20,1830_5169,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5169.laz,20,"MULTIPOLYGON (((829898.765475234 6513510.514443161, 829898.5835486689 6514509.726284524, 830897.794705087 6514509.908925193, 830897.9780306637 6513510.6970546385, 829898.765475234 6513510.514443161)))"
ima_gestion_images.imamnt2018laz1kmcc46.21,1830_5170,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5170.laz,21,"MULTIPOLYGON (((829898.5835468495 6514509.736276735, 829898.401591199 6515508.946718955, 830897.6113483676 6515509.129388827, 830897.7947032535 6514509.918917405, 829898.5835468495 6514509.736276735)))"
ima_gestion_images.imamnt2018laz1kmcc46.22,1830_5171,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5171.laz,22,"MULTIPOLYGON (((829898.4015893793 6515508.9567111535, 829898.2196046341 6516508.165754007, 830897.4279623299 6516508.348453091, 830897.611346534 6515509.139381025, 829898.4015893793 6515508.9567111535)))"
ima_gestion_images.imamnt2018laz1kmcc46.23,1830_5172,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5172.laz,23,"MULTIPOLYGON (((829898.2196028142 6516508.17574619, 829898.0375889648 6517507.383389457, 830897.2445469642 6517507.566117758, 830897.4279604959 6516508.358445275, 829898.2196028142 6516508.17574619)))"
ima_gestion_images.imamnt2018laz1kmcc46.24,1830_5173,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5173.laz,24,"MULTIPOLYGON (((829898.0375871446 6517507.393381625, 829897.855544182 6518506.599625076, 830897.061102261 6518506.782382609, 830897.2445451298 6517507.576109929, 829898.0375871446 6517507.393381625)))"
ima_gestion_images.imamnt2018laz1kmcc46.25,1830_5174,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5174.laz,25,"MULTIPOLYGON (((829897.8555423613 6518506.609617233, 829897.6734702761 6519505.814460649, 830896.8776282108 6519505.99724742, 830897.0611004264 6518506.7923747655, 829897.8555423613 6518506.609617233)))"
ima_gestion_images.imamnt2018laz1kmcc46.26,1830_5175,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5175.laz,26,"MULTIPOLYGON (((829897.6734684551 6519505.824452789, 829897.4913672375 6520505.027895945, 830896.6941248045 6520505.210711965, 830896.8776263759 6519506.007239561, 829897.6734684551 6519505.824452789)))"
ima_gestion_images.imamnt2018laz1kmcc46.27,1830_5176,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5176.laz,27,"MULTIPOLYGON (((829897.4913654164 6520505.037888071, 829897.3092350573 6521504.239930742, 830896.5105920323 6521504.422776019, 830896.6941229693 6520505.220704093, 829897.4913654164 6520505.037888071)))"
ima_gestion_images.imamnt2018laz1kmcc46.28,1830_5177,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5177.laz,28,"MULTIPOLYGON (((829897.309233236 6521504.249922853, 829897.1270737262 6522503.450564817, 830896.327029885 6522503.633439362, 830896.5105901968 6521504.432768133, 829897.309233236 6521504.249922853)))"
ima_gestion_images.imamnt2018laz1kmcc46.29,1830_5178,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5178.laz,29,"MULTIPOLYGON (((829897.1270719045 6522503.460556914, 829896.9448832343 6523502.659797942, 830896.1434383532 6523502.842701767, 830896.3270280493 6522503.6434314605, 829897.1270719045 6522503.460556914)))"
ima_gestion_images.imamnt2018laz1kmcc46.30,1830_5179,https://download.data.grandlyon.com/files/grandlyon/imagerie/mnt2018/lidar/laz/1830_5179.laz,30,"MULTIPOLYGON (((829896.9448814123 6523502.669790029, 829896.7626635728 6524501.8676299015, 830895.9598174271 6524502.050563009, 830896.1434365171 6523502.852693853, 829896.9448814123 6523502.669790029)))"
