gid;nom;x_min;y_min;x_max;y_max;url
2001;18415_51675_5cm_CC46;1841500;5167500;1842000;5168000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18415_51675_5cm_CC46.tif
2002;18420_51675_5cm_CC46;1842000;5167500;1842500;5168000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18420_51675_5cm_CC46.tif
2003;18425_51675_5cm_CC46;1842500;5167500;1843000;5168000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18425_51675_5cm_CC46.tif
2004;18430_51675_5cm_CC46;1843000;5167500;1843500;5168000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18430_51675_5cm_CC46.tif
2005;18435_51675_5cm_CC46;1843500;5167500;1844000;5168000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18435_51675_5cm_CC46.tif
2006;18440_51675_5cm_CC46;1844000;5167500;1844500;5168000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18440_51675_5cm_CC46.tif
2007;18445_51675_5cm_CC46;1844500;5167500;1845000;5168000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18445_51675_5cm_CC46.tif
2008;18450_51675_5cm_CC46;1845000;5167500;1845500;5168000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18450_51675_5cm_CC46.tif
2009;18455_51675_5cm_CC46;1845500;5167500;1846000;5168000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18455_51675_5cm_CC46.tif
2010;18460_51675_5cm_CC46;1846000;5167500;1846500;5168000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18460_51675_5cm_CC46.tif
2011;18465_51675_5cm_CC46;1846500;5167500;1847000;5168000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18465_51675_5cm_CC46.tif
2012;18470_51675_5cm_CC46;1847000;5167500;1847500;5168000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18470_51675_5cm_CC46.tif
2013;18475_51675_5cm_CC46;1847500;5167500;1848000;5168000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18475_51675_5cm_CC46.tif
1;18365_51945_5cm_CC46;1836500;5194500;1837000;5195000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18365_51945_5cm_CC46.tif
2;18370_51945_5cm_CC46;1837000;5194500;1837500;5195000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18370_51945_5cm_CC46.tif
3;18375_51945_5cm_CC46;1837500;5194500;1838000;5195000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18375_51945_5cm_CC46.tif
4;18380_51945_5cm_CC46;1838000;5194500;1838500;5195000;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18380_51945_5cm_CC46.tif
5;18360_51940_5cm_CC46;1836000;5194000;1836500;5194500;https://data.grandlyon.com/files/grandlyon/imagerie/ortho2023/ortho/tiff/500m_5cm_cc46/18360_51940_5cm_CC46.tif
