gid;nom;campagne_releve;x_min;y_min;x_max;y_max;url
1;18310_51755;2023;1831000;5175500;1831500;5176000;https://data.grandlyon.com/files/grandlyon/imagerie/mnt2023/lidar/laz/18310_51755.laz 
2;18310_51760;2023;1831000;5176000;1831500;5176500;https://data.grandlyon.com/files/grandlyon/imagerie/mnt2023/lidar/laz/18310_51760.laz 
3;18310_51765;2023;1831000;5176500;1831500;5177000;https://data.grandlyon.com/files/grandlyon/imagerie/mnt2023/lidar/laz/18310_51765.laz 
4;18310_51770;2023;1831000;5177000;1831500;5177500;https://data.grandlyon.com/files/grandlyon/imagerie/mnt2023/lidar/laz/18310_51770.laz 
5;18310_51775;2023;1831000;5177500;1831500;5178000;https://data.grandlyon.com/files/grandlyon/imagerie/mnt2023/lidar/laz/18310_51775.laz 
6;18310_51780;2023;1831000;5178000;1831500;5178500;https://data.grandlyon.com/files/grandlyon/imagerie/mnt2023/lidar/laz/18310_51780.laz 
7;18310_51785;2023;1831000;5178500;1831500;5179000;https://data.grandlyon.com/files/grandlyon/imagerie/mnt2023/lidar/laz/18310_51785.laz 
8;18310_51790;2023;1831000;5179000;1831500;5179500;https://data.grandlyon.com/files/grandlyon/imagerie/mnt2023/lidar/laz/18310_51790.laz 
9;18310_51795;2023;1831000;5179500;1831500;5180000;https://data.grandlyon.com/files/grandlyon/imagerie/mnt2023/lidar/laz/18310_51795.laz 
10;18310_51800;2023;1831000;5180000;1831500;5180500;https://data.grandlyon.com/files/grandlyon/imagerie/mnt2023/lidar/laz/18310_51800.laz 
11;18310_51805;2023;1831000;5180500;1831500;5181000;https://data.grandlyon.com/files/grandlyon/imagerie/mnt2023/lidar/laz/18310_51805.laz 
12;18310_51810;2023;1831000;5181000;1831500;5181500;https://data.grandlyon.com/files/grandlyon/imagerie/mnt2023/lidar/laz/18310_51810.laz 
13;18310_51815;2023;1831000;5181500;1831500;5182000;https://data.grandlyon.com/files/grandlyon/imagerie/mnt2023/lidar/laz/18310_51815.laz 
14;18310_51820;2023;1831000;5182000;1831500;5182500;https://data.grandlyon.com/files/grandlyon/imagerie/mnt2023/lidar/laz/18310_51820.laz 
15;18310_51825;2023;1831000;5182500;1831500;5183000;https://data.grandlyon.com/files/grandlyon/imagerie/mnt2023/lidar/laz/18310_51825.laz 
