FID,nom,x_min,y_min,x_max,y_max,url,gid,the_geom
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.1,1830_5150_8cm_CC46_IR,1830000,5150000,1835000,5155000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1830_5150_8cm_CC46_IR.ecw,1,"MULTIPOLYGON (((4.664621836699034 45.537887296006275, 4.6659607971661785 45.582867175425065, 4.730016433922547 45.581908130993526, 4.7286260226231285 45.53692902042981, 4.664621836699034 45.537887296006275)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.2,1830_5155_8cm_CC46_IR,1830000,5155000,1835000,5160000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1830_5155_8cm_CC46_IR.ecw,2,"MULTIPOLYGON (((4.6659607971661785 45.582867175425065, 4.667301913073362 45.627846939613384, 4.7314090834100195 45.62688712567434, 4.730016433922547 45.581908130993526, 4.6659607971661785 45.582867175425065)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.3,1830_5160_8cm_CC46_IR,1830000,5160000,1835000,5165000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1830_5160_8cm_CC46_IR.ecw,3,"MULTIPOLYGON (((4.667301913073362 45.627846939613384, 4.668645189628707 45.672826561109694, 4.732803976493362 45.67186597700954, 4.7314090834100195 45.62688712567434, 4.667301913073362 45.627846939613384)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.4,1830_5165_8cm_CC46_IR,1830000,5165000,1835000,5170000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1830_5165_8cm_CC46_IR.ecw,4,"MULTIPOLYGON (((4.668645189628707 45.672826561109694, 4.669990632057133 45.7178060124318, 4.734201118597831 45.71684465751585, 4.732803976493362 45.67186597700954, 4.668645189628707 45.672826561109694)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.5,1830_5170_8cm_CC46_IR,1830000,5170000,1835000,5175000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1830_5170_8cm_CC46_IR.ecw,5,"MULTIPOLYGON (((4.669990632057133 45.7178060124318, 4.671338245600415 45.76278526607689, 4.7356005151661815 45.76182313968926, 4.734201118597831 45.71684465751585, 4.669990632057133 45.7178060124318)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.6,1830_5175_8cm_CC46_IR,1830000,5175000,1835000,5180000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1830_5175_8cm_CC46_IR.ecw,6,"MULTIPOLYGON (((4.671338245600415 45.76278526607689, 4.67268803551725 45.807764294521455, 4.7370021716587445 45.80680139600515, 4.7356005151661815 45.76182313968926, 4.671338245600415 45.76278526607689)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.7,1830_5180_8cm_CC46_IR,1830000,5180000,1835000,5185000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1830_5180_8cm_CC46_IR.ecw,7,"MULTIPOLYGON (((4.67268803551725 45.807764294521455, 4.6740400070833354 45.852743070221536, 4.738406093553497 45.85177939891836, 4.7370021716587445 45.80680139600515, 4.67268803551725 45.807764294521455)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.8,1830_5185_8cm_CC46_IR,1830000,5185000,1835000,5190000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1830_5185_8cm_CC46_IR.ecw,8,"MULTIPOLYGON (((4.6740400070833354 45.852743070221536, 4.675394165591426 45.89772156561252, 4.739812286346123 45.89675712086319, 4.738406093553497 45.85177939891836, 4.6740400070833354 45.852743070221536)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.9,1830_5190_8cm_CC46_IR,1830000,5190000,1835000,5195000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1830_5190_8cm_CC46_IR.ecw,9,"MULTIPOLYGON (((4.675394165591426 45.89772156561252, 4.676750516351411 45.942699753109345, 4.741220755550108 45.941734534253364, 4.739812286346123 45.89675712086319, 4.675394165591426 45.89772156561252)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.10,1830_5195_8cm_CC46_IR,1830000,5195000,1835000,5200000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1830_5195_8cm_CC46_IR.ecw,10,"MULTIPOLYGON (((4.676750516351411 45.942699753109345, 4.678109064690385 45.98767760510641, 4.742631506696788 45.98671161148216, 4.741220755550108 45.941734534253364, 4.676750516351411 45.942699753109345)))"
